line number,satellite catalog number,classification,International Designator(launch year),International Designator (launch num),International Designator (piece of launch),epoch year,epoch day,first time derivative of mean motion(ballisitc coefficient),second time derivative of mean motion(delta-dot),bstar drag term,ephemeris type,element number,checksum,inclination,right ascension of the ascending node,eccentricity,argument of perigee,mean anomaly,mean motion,revolution number at epoch,#JCAT,DeepCat,Satcat,Piece,Active,Type,Name,LDate,Parent,Owner,State,SDate,ExpandedStatus,DDate,ODate,Period,Perigee,PF,Apogee,AF,Inc,IF,OpOrbit,PLName,Primary,Status,Dest,Manufacturer,Bus,Motor,Mass,MassFlag,DryMass,DryFlag,TotMass,TotFlag,Length,LFlag,Diameter,DFlag,Span,SpanFlag,Shape,OQUAL,AltNames
1,00900,U,64,063,C  ,23,111.15409253, .00001073, 00000+0, 11266-2,0,  999,3, 90.1901, 46.7217,0025894,170.4874,295.9721,13.74256863,91291,S00900,-,00900,1964-063C,P,P           ,Dragsphere 1,1964 Oct  6,S00901,NRL,US,1964 Oct  7 1100?,In Earth orbit,-,2023 Apr 16 ,     104.785 ,     965, ,    1003, , 90.19 , ,LEO/P,Dragsphere,Earth,O,-,NRL,"NRL 14""",-,1.0, ,1.0, ,1.0, ,0.4, ,0.4, ,0.4, ,Sphere,-,-
1,00902,U,64,063,E  ,23,110.86800878, .00000090, 00000+0, 12205-3,0,  999,3, 90.2051, 50.0124,0017782,341.8637, 80.5721,13.52746448,70033,S00902,-,00902,1964-063E,P,P           ,Dragsphere 2,1964 Oct  6,S00901,NRL,US,1964 Oct  7 1100?,In Earth orbit,-,2023 Apr 16 ,     106.450 ,    1048, ,    1075, , 90.20 , ,LEO/P,Dragsphere,Earth,O,-,NRL,"NRL 14""",-,10.0, ,10.0, ,10.0, ,0.4, ,0.4, ,0.4, ,Sphere,-,-
1,01361,U,65,034,C  ,23,110.29441301, .00000006, 00000+0,-29366-3,0,  999,5, 32.1456, 36.7461,0009191,248.8773,111.0742, 9.89302810, 9561,S01361,-,01361,1965-034C,P,P           ,LCS 1,1965 May  6,A00686,MITLL/SFSSC,US,1965 May  6 1920?,In Earth orbit,-,2023 Apr 16 ,     145.557 ,    2779, ,    2796, , 32.14 , ,MEO,LCS 1,Earth,O,-,ROHR/MITLL,LCS,-,34.0, ,34.0, ,34.0, ,1.1, ,1.1, ,1.1, ,Sphere,-,-
1,01512,U,65,065,E  ,23,110.36572465, .00000061, 00000+0, 10569-3,0,  999,6, 89.9347,216.3587,0068170,247.9653,183.3455,13.33475376,80627,S01512,-,01512,1965-065E,P,P           ,Tempsat 1,1965 Aug 13,S01508,NRL,US,1965 Aug 13 2251?,In Earth orbit,-,2023 Apr 16 ,     107.989 ,    1082, ,    1184, , 89.93 , ,LEO/P,NRL PL157,Earth,O,-,NRL,"NRL 14""",-,9.0, ,9.0, ,9.0, ,0.4, ,0.4, ,0.4, ,Sphere,-,-
1,01520,U,65,065,H  ,23,110.89662135, .00000160, 00000+0, 28887-3,0,  999,9, 89.9692,129.6959,0071125,116.0195,  0.7896,13.35956165,80870,S01520,-,01520,1965-065H,P,P           ,Calsphere,1965 Aug 13,S01508,NRL,US,1965 Aug 13 2251?,In Earth orbit,-,2023 Apr 16 ,     107.788 ,    1071, ,    1177, , 89.97 , ,LEO/P,NRL PL158?,Earth,O,-,NRL,"NRL 14""",-,4.0, ,4.0, ,4.0, ,0.4, ,0.4, ,0.4, ,Sphere,-,-
1,02826,U,67,053,A  ,23,110.87206380, .00007218, 00000+0, 17485-2,0,  999,4, 69.9263,286.7579,0007232,264.8709, 95.1601,14.53316516,89734,S02826,-,02826,1967-053A,P,P           ,Calsphere IV,1967 May 31,S02825,NRL,US,1967 May 31 1026?,In Earth orbit,-,2023 Apr 16 ,      99.088 ,     709, ,     720, , 69.93 , ,LEO/I,NRL PL160,Earth,O,-,NRL,"NRL 14""?",-,5.0, ,5.0, ,5.0, ,0.5, ,0.5, ,0.5, ,Sphere,-,-
1,02866,U,67,066,E  ,23,110.75759811,-.00000054, 00000+0, 00000+0,0,  999,5,  0.8343,207.3155,0053520, 83.5107,341.9544, 1.09425003,11841,S02866,-,02866,1967-066E,P,P           ,LES 5,1967 Jul  1,S02868,SFSSC,US,1967 Jul  1 1923,In Earth orbit,-,2023 Apr 15 ,    1315.968 ,   33187, ,   33615, ,  0.84 , ,MEO,LES 5,Earth,O,-,MITLL,LES,-,102.0, ,102.0, ,102.0, ,1.7, ,1.2, ,1.7, ,Cyl,-,-
1,02872,U,67,053,F  ,23,110.66097526, .00000198, 00000+0, 17405-3,0,  999,5, 69.9749,323.5907,0007340,200.7758,159.3052,13.99017429,84883,S02872,-,02872,1967-053F,P,P           ,Calsphere III,1967 May 31,S02825,NRL,US,1967 May 31 1026?,In Earth orbit,-,2023 Apr 16 ,     102.930 ,     891, ,     902, , 69.98 , ,LEO/I,NRL PL159,Earth,O,-,NRL,"NRL 14""?",-,3.0, ,3.0, ,3.0, ,0.4, ,0.4, ,0.4, ,Sphere,-,-
1,02874,U,67,053,H  ,23,111.14626505, .00000106, 00000+0, 11500-3,0,  999,5, 69.9741, 66.0557,0010139,256.9602,103.0372,13.96470790,84626,S02874,-,02874,1967-053H,P,P           ,NRL PL153,1967 May 31,S02825,NROC/NRL,US,1967 May 31 1026?,In Earth orbit,-,2023 Apr 16 ,     103.117 ,     898, ,     913, , 69.97 , ,LEO/I,POPPY 5 Charlie,Earth,O,-,NRL,NRL MULTI,-,77.0, ,77.0, ,77.0, ,0.8, ,0.7, ,18.0,?,Ell + Ant,-,NRO Mission 7105C
1,02909,U,67,053,J  ,23,110.84135958, .00013687, 00000+0, 23520-2,0,  999,9, 69.9451,260.4286,0004991,276.9951, 83.0624,14.68751745,90865,S02909,-,02909,1967-053J,P,P           ,SURCAL 6?,1967 May 31,S02825,NRL,US,1967 May 31 1026?,In Earth orbit,-,2023 Apr 16 ,      98.052 ,     662, ,     668, , 69.94 , ,LEO/I,NRL PL150B,Earth,O,-,NRL,Surcal?,-,5.0,?,5.0,?,5.0,?,0.2,?,0.2,?,0.2,?,Box,-,-
