#JCAT	Piece	Name	LDate	TLast	TOp	TDate	TF	Program	Plane	Att	Mvr	Class	Category	UNState	UNReg	UNPeriod	UNPerigee	UNApogee	UNInc	Result	Control	Discipline	Comment
# Updated 2023 Jun 05 04:17:39
S00002	1957 ALP 2	First Sputnik	1957 Oct  4 	1957 Oct 27	1957 Oct 27	1957 Oct 27	-	Sputnik	-	-	-	C	TECH	SU	A/AC.105/INF.002	-	     227	     947	 65.1 	S	-	ENV*	First Earth satellite
S00003	1957 BET 1	Second Sputnik	1957 Nov  3 	1957 Nov  9	1957 Nov  9	1957 Nov  9	-	Sputnik	-	-	-	C	BIO	SU	A/AC.105/INF.002	-	     225	    1671	 65.3 	S	-	BIO	First animal payload
S00004	1958 ALP	Explorer 1	1958 Feb  1 	1958 Apr  1	1958 Apr  1	1958 Apr  1	-	Explorer ABMA	-	-	-	C	SCI	US	A/AC.105/INF.001	-	-	-	-	S	JPL	P*	Discovered trapped radiation
S00005	1958 BET 2	[Vanguard I]	1958 Mar 17 	1964 Mar	1964 Mar	1964 Mar	-	Vanguard Test	-	-	-	C	TECH	US	A/AC.105/INF.001	  133.8 	     649	    3938	 34.3 	S	NRL	GEOD	First geodetic satellite
S00006	1958 GAM	[Explorer III]	1958 Mar 26 	1958 May 10	1958 May 10	1958 May 10	-	Explorer ABMA	-	-	-	C	SCI	[US]	-	-	-	-	-	S	JPL	P*	Radiation
S00008	1958 DEL 2	Third Sputnik	1958 May 15 	1958 Jun  5	1958 Jun  5	1958 Jun  5	-	ObjectD	-	-	-	C	SCI	SU	A/AC.105/INF.002	-	     226	    1881	 65.2 	S	-	P*	Radiation, ionosphere
S00009	1958 EPS	[Explorer IV]	1958 Jul 26 	1958 Sep 19	1958 Sep 19	1958 Sep 19	-	Explorer ABMA	-	-	-	C	SCI	[US]	-	-	-	-	-	S	JPL	P*	Radiation
S00010	1958 ZET	[SCORE]	1958 Dec 18 	1958 Dec 31	1958 Dec 31	1958 Dec 31	-	SCORE	-	-	-	D	COM	[US]	-	-	-	-	-	S	-	-	-
S00011	1959 ALP 1	[Vanguard II]	1959 Feb 17 	1959 Mar  7	1959 Mar  7	1959 Mar  7	-	Vanguard	-	-	-	C	IMG	US	A/AC.105/INF.001	  125.3 	     491	    3358	 32.9 	S	NRL	ATM	Cloud cover photos
S00013	1959 BET	[Discoverer I]	1959 Feb 28 	1959 Feb 28	1959 Feb 28	1959 Feb 28	-	CORONA Early	-	-	-	D	TECH	[US]	-	-	-	-	-	F	AFSCF	-	-
