N,i,h,_soname,_owner,_application,_mass,_maneuverable,_propulsion,_length,_area,total_mass,total_cost
30000,53,350,Starlink2,Starlink,Comms,260.0,y,electric,24.0,138.24,7800000,21060000000.0
2200,53,525,Starlink2B,Starlink,Comms,260.0,y,electric,12.0,68.88,572000,1544400000.0
2500,43,530,Starlink2C,Starlink,Comms,260.0,y,electric,12.0,69.0,650000,1755000000.0
2500,33,535,Starlink2A,Starlink,Comms,260.0,y,electric,12.0,69.12,650000,1755000000.0
6372,87.9,1200,Oneweb2,OneWeb,Comms,200.0,y,electric,15.2,79.04,1274400,3440880000.0
4408,70,570,Starlink1,Starlink,Comms,260.0,y,electric,12.0,69.12,1146080,3094416000.0
616,87.9,1200,Oneweb-1,OneWeb,Comms,200.0,y,electric,15.2,79.04,123200,332640000.0
3600,55,508,Guowang3,Guowang,Comms,250.0,y,gas,12.0,69.12,900000,2430000000.0
2240,97,380,AstraSpace3SSO,Astraspace,Internet,50.0,y,electric,0.6,0.06,112000,302400000.0
1728,30,1145,Guowang4,Guowang,Comms,250.0,y,gas,12.0,69.12,432000,1166400000.0
1728,40,1145,Guowang5,Guowang,Comms,250.0,y,gas,12.0,69.12,432000,1166400000.0
1728,50,1145,Guowang6,Guowang,Comms,250.0,y,gas,12.0,69.12,432000,1166400000.0
1728,60,1145,Guowang7,Guowang,Comms,250.0,y,gas,12.0,69.12,432000,1166400000.0
1400,54.9,680,BoeingLEO3,Boeing,Comms,250.0,y,electric,12.0,69.12,350000,945000000.0
1296,42,610,Amazon_Kuiper2,Amazon,Comms,325.0,y,electric,12.0,69.12,421200,1137240000.0
300,90,535,Chang_Guang,SSOCubesat,EO,150.0,y,gas,1.0,0.5,45000,121500000.0
198,30,1530,Astrome,Other,Comms,10.0,n,None,0.1,0.01,1980,5346000.0
68,6,650,ExactEarth_(operating),Other,EO,6.0,y,None,0.2,0.04,408,1101600.0
60,45,550,Curvalux-1,Cubesat,Comms,150.0,y,gas,12.0,69.12,9000,24300000.0
50,86.4,550,Climavision_,SSOCubesat,EO,40.0,y,electric,80.0,200.0,2000,5400000.0
35,30,600,Eutelsat,Other,IOT,30.0,y,None,0.6,0.06,1050,2835000.0
30,97,500,ConstellR,Other,EO,150.0,y,electric,2.4,0.24,4500,12150000.0
20,98,520,Carbon_Mapper,SSOCubesat,EO,30.0,y,None,0.3,0.03,600,1620000.0
18,63.4,30000,Apogee_Networks,Other,Comms,20.0,n,None,0.6,0.06,360,972000.0
15,97.5,525,Capella_Space_Corp-SSO,Other,EO,100.0,y,electric,80.0,200.0,1500,4050000.0
14,45.1,556,Capella_Space_Corp-2,Other,EO,40.0,y,electric,80.0,200.0,560,1512000.0
12,97.7,620,Aurora_Insight,SSOCubesat,Comms,20.0,y,electric,0.6,0.06,240,648000.0
5,97.4,495,Zhuhai,SSOCubesat,EO,90.0,?,?,0.1,0.01,450,1215000.0
