N,i,h,_soname,_owner,_application,_mass,_maneuverable,_propulsion,_length,_area,total_mass,total_cost
30000,53,350,Starlink2,Starlink,Comms,260.0,y,electric,24.0,138.24,7800000,21060000000.0
12960,48,580.7,Cinnamon10,E-Space,Comms,20.0,n,None,0.6,0.06,259200,699840000.0
12960,51,584.3,Cinnamon11,E-Space,Comms,20.0,n,None,0.6,0.06,259200,699840000.0
12960,54,587.9,Cinnamon12,E-Space,Comms,20.0,n,None,0.6,0.06,259200,699840000.0
12960,57,591.5,Cinnamon13,E-Space,Comms,20.0,n,None,0.6,0.06,259200,699840000.0
12960,60,595.1,Cinnamon14,E-Space,Comms,20.0,n,None,0.6,0.06,259200,699840000.0
12960,63,598.7,Cinnamon15,E-Space,Comms,20.0,n,None,0.6,0.06,259200,699840000.0
12960,66,602.3,Cinnamon16,E-Space,Comms,20.0,n,None,0.6,0.06,259200,699840000.0
12960,69,605.9,Cinnamon17,E-Space,Comms,20.0,n,None,0.6,0.06,259200,699840000.0
12960,72,609.5,Cinnamon18,E-Space,Comms,20.0,n,None,0.6,0.06,259200,699840000.0
12960,75,613.1,Cinnamon19,E-Space,Comms,20.0,n,None,0.6,0.06,259200,699840000.0
12960,24,551.9,Cinnamon2,E-Space,Comms,20.0,n,None,0.6,0.06,259200,699840000.0
12960,78,616.7,Cinnamon20,E-Space,Comms,20.0,n,None,0.6,0.06,259200,699840000.0
12960,81,620.3,Cinnamon21,E-Space,Comms,20.0,n,None,0.6,0.06,259200,699840000.0
12960,84,623.9,Cinnamon22,E-Space,Comms,20.0,n,None,0.6,0.06,259200,699840000.0
12960,87,627.5,Cinnamon23,E-Space,Comms,20.0,n,None,0.6,0.06,259200,699840000.0
12960,90,631.1,Cinnamon24,E-Space,Comms,20.0,n,None,0.6,0.06,259200,699840000.0
12960,93,634.7,Cinnamon25,E-Space,Comms,20.0,n,None,0.6,0.06,259200,699840000.0
12960,96,638.3,Cinnamon26,E-Space,Comms,20.0,n,None,0.6,0.06,259200,699840000.0
12960,98,641.9,Cinnamon27,E-Space,Comms,20.0,n,None,0.6,0.06,259200,699840000.0
12960,27,555.5,Cinnamon3,E-Space,Comms,20.0,n,None,0.6,0.06,259200,699840000.0
12960,30,559.1,Cinnamon4,E-Space,Comms,20.0,n,None,0.6,0.06,259200,699840000.0
12960,33,562.7,Cinnamon5,E-Space,Comms,20.0,n,None,0.6,0.06,259200,699840000.0
12960,36,566.3,Cinnamon6,E-Space,Comms,20.0,n,None,0.6,0.06,259200,699840000.0
12960,39,569.9,Cinnamon7,E-Space,Comms,20.0,n,None,0.6,0.06,259200,699840000.0
12960,42,573.5,Cinnamon8,E-Space,Comms,20.0,n,None,0.6,0.06,259200,699840000.0
12960,45,577.1,Cinnamon9,E-Space,Comms,20.0,n,None,0.6,0.06,259200,699840000.0
2200,53,525,Starlink2B,Starlink,Comms,260.0,y,electric,12.0,68.88,572000,1544400000.0
2500,43,530,Starlink2C,Starlink,Comms,260.0,y,electric,12.0,69.0,650000,1755000000.0
2500,33,535,Starlink2A,Starlink,Comms,260.0,y,electric,12.0,69.12,650000,1755000000.0
6372,87.9,1200,Oneweb2,OneWeb,Comms,200.0,y,electric,15.2,79.04,1274400,3440880000.0
4408,70,570,Starlink1,Starlink,Comms,260.0,y,electric,12.0,69.12,1146080,3094416000.0
616,87.9,1200,Oneweb-1,OneWeb,Comms,200.0,y,electric,15.2,79.04,123200,332640000.0
4896,30,390,AstraSpaceLowI,Astraspace,Internet,50.0,y,electric,0.6,0.06,244800,660960000.0
4148,55,400,AstraSpaceMedI,Astraspace,Internet,50.0,y,electric,0.6,0.06,207400,559980000.0
3600,55,508,Guowang3,Guowang,Comms,250.0,y,gas,12.0,69.12,900000,2430000000.0
2240,97,380,AstraSpace3SSO,Astraspace,Internet,50.0,y,electric,0.6,0.06,112000,302400000.0
2000,50,600,Guowang2,Guowang,Comms,250.0,y,gas,12.0,69.12,500000,1350000000.0
1792,55,700,AstraSpaceMEDI,Astraspace,Internet,50.0,y,electric,0.6,0.06,89600,241920000.0
1728,30,1145,Guowang4,Guowang,Comms,250.0,y,gas,12.0,69.12,432000,1166400000.0
1728,40,1145,Guowang5,Guowang,Comms,250.0,y,gas,12.0,69.12,432000,1166400000.0
1728,50,1145,Guowang6,Guowang,Comms,250.0,y,gas,12.0,69.12,432000,1166400000.0
1728,60,1145,Guowang7,Guowang,Comms,250.0,y,gas,12.0,69.12,432000,1166400000.0
1564,37.9,690,BoeingLEO4,Boeing,Comms,250.0,y,electric,12.0,69.12,391000,1055700000.0
1440,55,1150,Hughes_Network_Systems,Other,Comms,250.0,y,electric,12.0,69.12,360000,972000000.0
1400,54.9,680,BoeingLEO3,Boeing,Comms,250.0,y,electric,12.0,69.12,350000,945000000.0
1296,42,610,Amazon_Kuiper2,Amazon,Comms,325.0,y,electric,12.0,69.12,421200,1137240000.0
1156,51.9,630,Amazon_Kuiper-,Amazon,Comms,325.0,y,electric,12.0,69.12,375700,1014390000.0
784,33,590,Amazon_Kuiper1,Amazon,Comms,325.0,y,electric,12.0,69.12,254800,687960000.0
504,98,690,AstraSpace-SSO,Astraspace,Internet,50.0,y,electric,0.6,0.06,25200,68040000.0
300,90,535,Chang_Guang,SSOCubesat,EO,150.0,y,gas,1.0,0.5,45000,121500000.0
243,53.2,510,AST_&_Science,Other,Comms,1500.0,n,electric,80.0,6400.0,364500,984150000.0
198,30,1530,Astrome,Other,Comms,10.0,n,None,0.1,0.01,1980,5346000.0
192,97,500,ADA_Space,SSOCubesat,EO,8.0,n,None,0.6,0.06,1536,4147200.0
180,87.9,550,Curvalux-2,Cubesat,Comms,150.0,y,gas,12.0,69.12,27000,72900000.0
120,98.6,800,Theia,SSOCubesat,EO,4.0,No,None,0.3,0.03,480,1296000.0
100,98,500,Canon,SSOCubesat,EO,35.5,y,electric,6.73,26.3816,3500,9585000.0
68,6,650,ExactEarth_(operating),Other,EO,6.0,y,None,0.2,0.04,408,1101600.0
60,45,550,Curvalux-1,Cubesat,Comms,150.0,y,gas,12.0,69.12,9000,24300000.0
50,97.7,600,Axelspace,SSOCubesat,EO,100.0,y,gas,0.1,0.01,5000,13500000.0
50,90,550,Care_Weather,SSOCubesat,Weather,1.0,y,None,0.1,0.01,50,135000.0
50,86.4,550,Climavision_,SSOCubesat,EO,40.0,y,electric,80.0,200.0,2000,5400000.0
40,0,700,AstraSpace-EQ,Astraspace,Internet,50.0,y,electric,0.6,0.06,2000,5400000.0
35,30,600,Eutelsat,Other,IOT,30.0,y,None,0.6,0.06,1050,2835000.0
30,54,400,Avant_Space,Other,Advertising,50.0,y,electric,1.6,0.16,1500,4050000.0
30,97,500,ConstellR,Other,EO,150.0,y,electric,2.4,0.24,4500,12150000.0
21,97.7,580,Hawkeye__360,Cubesat,Comms,45.0,y,electric,0.5,0.25,945,2551500.0
20,98,520,Carbon_Mapper,SSOCubesat,EO,30.0,y,None,0.3,0.03,600,1620000.0
18,63.4,30000,Apogee_Networks,Other,Comms,20.0,n,None,0.6,0.06,360,972000.0
15,87.9,10000,BoeingMEO,Boeing,Comms,1500.0,y,gas,10.0,25.0,22500,60750000.0
