N,i,h,_soname,_owner,_application,_mass,_maneuverable,_propulsion,_length,_area,total_mass,total_cost
30000,53,350,Starlink2,Starlink,Comms,260.0,y,electric,24.0,138.24,7800000,21060000000.0
2200,53,525,Starlink2B,Starlink,Comms,260.0,y,electric,12.0,68.88,572000,1544400000.0
2500,43,530,Starlink2C,Starlink,Comms,260.0,y,electric,12.0,69.0,650000,1755000000.0
2500,33,535,Starlink2A,Starlink,Comms,260.0,y,electric,12.0,69.12,650000,1755000000.0
6372,87.9,1200,Oneweb2,OneWeb,Comms,200.0,y,electric,15.2,79.04,1274400,3440880000.0
4408,70,570,Starlink1,Starlink,Comms,260.0,y,electric,12.0,69.12,1146080,3094416000.0
616,87.9,1200,Oneweb-1,OneWeb,Comms,200.0,y,electric,15.2,79.04,123200,332640000.0
4896,30,390,AstraSpaceLowI,Astraspace,Internet,50.0,y,electric,0.6,0.06,244800,660960000.0
1792,55,700,AstraSpaceMEDI,Astraspace,Internet,50.0,y,electric,0.6,0.06,89600,241920000.0
1728,40,1145,Guowang5,Guowang,Comms,250.0,y,gas,12.0,69.12,432000,1166400000.0
1728,50,1145,Guowang6,Guowang,Comms,250.0,y,gas,12.0,69.12,432000,1166400000.0
1728,60,1145,Guowang7,Guowang,Comms,250.0,y,gas,12.0,69.12,432000,1166400000.0
1296,42,610,Amazon_Kuiper2,Amazon,Comms,325.0,y,electric,12.0,69.12,421200,1137240000.0
504,98,690,AstraSpace-SSO,Astraspace,Internet,50.0,y,electric,0.6,0.06,25200,68040000.0
192,97,500,ADA_Space,SSOCubesat,EO,8.0,n,None,0.6,0.06,1536,4147200.0
180,87.9,550,Curvalux-2,Cubesat,Comms,150.0,y,gas,12.0,69.12,27000,72900000.0
120,98.6,800,Theia,SSOCubesat,EO,4.0,No,None,0.3,0.03,480,1296000.0
100,98,500,Canon,SSOCubesat,EO,35.5,y,electric,6.73,26.3816,3500,9585000.0
50,90,550,Care_Weather,SSOCubesat,Weather,1.0,y,None,0.1,0.01,50,135000.0
40,0,700,AstraSpace-EQ,Astraspace,Internet,50.0,y,electric,0.6,0.06,2000,5400000.0
30,54,400,Avant_Space,Other,Advertising,50.0,y,electric,1.6,0.16,1500,4050000.0
30,97,500,ConstellR,Other,EO,150.0,y,electric,2.4,0.24,4500,12150000.0
18,63.4,30000,Apogee_Networks,Other,Comms,20.0,n,None,0.6,0.06,360,972000.0
15,87.9,10000,BoeingMEO,Boeing,Comms,1500.0,y,gas,10.0,25.0,22500,60750000.0
15,98,505,Earth-I,SSOCubesat,EO,5.0,y,None,0.1,0.01,75,202500.0
14,53,450,Blacksky,Other,EO,55.0,y,electric,3.2,0.32,770,2079000.0
12,97.7,620,Aurora_Insight,SSOCubesat,Comms,20.0,y,electric,0.6,0.06,240,648000.0
10,90,550,Earth_Daily_Analytics,SSOCubesat,EO,20.0,y,None,0.2,0.02,200,540000.0
10,0,35786,EchoStar,Other,Comms,200.0,y,gas,3.2,0.32,2000,5400000.0
5,97.4,495,Zhuhai,SSOCubesat,EO,90.0,?,?,0.1,0.01,450,1215000.0
5,97.4,510,Zhuhai,SSOCubesat,EO,90.0,?,?,0.1,0.01,450,1215000.0
